No,year,month,day,hour,DEWP,PRES,Iws,Is,Ir,TEMP
90,2010,1,4,17,-20,1032,159.56,0,0,-11
91,2010,1,4,18,-23,1032,165.37,0,0,-11
92,2010,1,4,19,-21,1033,171.18,0,0,-12
93,2010,1,4,20,-24,1034,180.12,0,0,-12
94,2010,1,4,21,-24,1034,187.27,0,0,-13
95,2010,1,4,22,-24,1035,195.32,0,0,-13
96,2010,1,4,23,-26,1035,198.45,0,0,-15
97,2010,1,5,0,-26,1035,201.58,0,0,-17
98,2010,1,5,1,-26,1035,205.6,0,0,-18
99,2010,1,5,2,-26,1035,208.73,0,0,-19
100,2010,1,5,3,-27,1035,213.65,0,0,-18
101,2010,1,5,4,-27,1035,218.57,0,0,-19
102,2010,1,5,5,-27,1034,4.92,0,0,-16
103,2010,1,5,6,-26,1035,8.05,0,0,-16
104,2010,1,5,7,-27,1034,13.86,0,0,-16
105,2010,1,5,8,-26,1035,18.78,0,0,-16
106,2010,1,5,9,-26,1035,24.59,0,0,-15
107,2010,1,5,10,-25,1035,29.51,0,0,-14
108,2010,1,5,11,-25,1035,34.43,0,0,-13
109,2010,1,5,12,-25,1034,39.35,0,0,-12
110,2010,1,5,13,-24,1032,41.14,0,0,-11
111,2010,1,5,14,-22,1032,0.89,0,0,-11
112,2010,1,5,15,-23,1031,1.79,0,0,-11
113,2010,1,5,16,-24,1031,3.58,0,0,-11
114,2010,1,5,17,-23,1031,5.37,0,0,-11
115,2010,1,5,18,-23,1032,7.16,0,0,-11
116,2010,1,5,19,-22,1033,10.29,0,0,-13
117,2010,1,5,20,-22,1033,13.42,0,0,-12
118,2010,1,5,21,-24,1033,16.55,0,0,-18
119,2010,1,5,22,-22,1034,20.57,0,0,-13
120,2010,1,5,23,-22,1033,23.7,0,0,-16
121,2010,1,6,0,-25,1033,26.83,0,0,-17
122,2010,1,6,1,-25,1033,4.02,0,0,-14
123,2010,1,6,2,-26,1034,8.04,0,0,-14
124,2010,1,6,3,-26,1033,13.85,0,0,-14
125,2010,1,6,4,-26,1033,17.87,0,0,-14
126,2010,1,6,5,-26,1033,23.68,0,0,-14
127,2010,1,6,6,-26,1033,28.6,0,0,-14
128,2010,1,6,7,-26,1034,33.52,0,0,-15
129,2010,1,6,8,-26,1034,39.33,0,0,-14
130,2010,1,6,9,-25,1035,44.25,0,0,-13
131,2010,1,6,10,-25,1035,50.06,0,0,-12
132,2010,1,6,11,-24,1035,54.98,0,0,-11
133,2010,1,6,12,-24,1034,59,0,0,-10
134,2010,1,6,13,-22,1033,4.02,0,0,-10
135,2010,1,6,14,-22,1033,5.81,0,0,-9
136,2010,1,6,15,-22,1033,0.89,0,0,-8
137,2010,1,6,16,-22,1033,1.79,0,0,-8
138,2010,1,6,17,-21,1033,3.58,0,0,-9
139,2010,1,6,18,-22,1033,5.37,0,0,-9
140,2010,1,6,19,-22,1034,0.89,0,0,-14
141,2010,1,6,20,-22,1035,1.79,0,0,-12
142,2010,1,6,21,-21,1034,3.58,0,0,-14
143,2010,1,6,22,-22,1035,5.37,0,0,-16
144,2010,1,6,23,-21,1035,7.16,0,0,-16
145,2010,1,7,0,-21,1035,8.95,0,0,-16
146,2010,1,7,1,-21,1035,0.45,0,0,-16
147,2010,1,7,2,-22,1036,1.34,0,0,-18
148,2010,1,7,3,-23,1036,4.02,0,0,-15
149,2010,1,7,4,-24,1035,7.15,0,0,-16
150,2010,1,7,5,-25,1035,10.28,0,0,-15
151,2010,1,7,6,-24,1035,14.3,0,0,-15
152,2010,1,7,7,-25,1036,4.92,0,0,-13
153,2010,1,7,8,-24,1036,4.02,0,0,-14
154,2010,1,7,9,-23,1036,8.94,0,0,-12
155,2010,1,7,10,-22,1036,12.96,0,0,-11
156,2010,1,7,11,-20,1036,16.09,0,0,-10
157,2010,1,7,12,-21,1035,19.22,0,0,-9
158,2010,1,7,13,-21,1034,21.01,0,0,-8
159,2010,1,7,14,-20,1033,22.8,0,0,-7
160,2010,1,7,15,-20,1032,24.59,0,0,-7
161,2010,1,7,16,-18,1032,26.38,0,0,-8
162,2010,1,7,17,-19,1032,28.17,0,0,-9
163,2010,1,7,18,-19,1032,0.89,0,0,-11
164,2010,1,7,19,-18,1033,1.79,0,0,-11
165,2010,1,7,20,-19,1032,1.79,0,0,-15
166,2010,1,7,21,-19,1032,0.45,0,0,-14
167,2010,1,7,22,-21,1032,1.34,0,0,-14
168,2010,1,7,23,-21,1032,2.23,0,0,-16
169,2010,1,8,0,-21,1031,1.79,0,0,-17
170,2010,1,8,1,-19,1031,3.58,0,0,-16
171,2010,1,8,2,-20,1031,0.89,0,0,-16
172,2010,1,8,3,-19,1030,0.89,0,0,-15
173,2010,1,8,4,-18,1030,0.45,0,0,-15
174,2010,1,8,5,-18,1029,1.34,0,0,-15
175,2010,1,8,6,-18,1029,1.79,0,0,-15
176,2010,1,8,7,-16,1029,0.89,0,0,-13
177,2010,1,8,8,-16,1029,0.89,0,0,-12
178,2010,1,8,9,-16,1030,1.78,0,0,-12
179,2010,1,8,10,-17,1030,0.89,0,0,-10
180,2010,1,8,11,-16,1029,0.89,0,0,-10
181,2010,1,8,12,-16,1028,3.13,0,0,-9
182,2010,1,8,13,-15,1026,4.92,0,0,-8
183,2010,1,8,14,-16,1026,0.89,0,0,-8
184,2010,1,8,15,-16,1025,1.78,0,0,-8
185,2010,1,8,16,-16,1025,2.67,0,0,-8
186,2010,1,8,17,-17,1025,0.89,0,0,-8
187,2010,1,8,18,-17,1026,0.45,0,0,-9
188,2010,1,8,19,-17,1026,1.34,0,0,-11
189,2010,1,8,20,-17,1026,1.79,0,0,-12
190,2010,1,8,21,-18,1027,1.79,0,0,-14
191,2010,1,8,22,-16,1027,4.92,0,0,-9
192,2010,1,8,23,-16,1027,6.71,0,0,-11
193,2010,1,9,0,-17,1027,0.89,0,0,-13
194,2010,1,9,1,-17,1027,3.13,0,0,-13
195,2010,1,9,2,-17,1027,4.92,0,0,-14
196,2010,1,9,3,-17,1027,8.05,0,0,-15
197,2010,1,9,4,-17,1027,9.84,0,0,-13
198,2010,1,9,5,-19,1027,13.86,0,0,-16
199,2010,1,9,6,-18,1027,17.88,0,0,-15
200,2010,1,9,7,-19,1027,21.9,0,0,-15
201,2010,1,9,8,-18,1028,25.92,0,0,-14
202,2010,1,9,9,-18,1029,5.81,0,0,-9
203,2010,1,9,10,-17,1029,11.62,0,0,-7
204,2010,1,9,11,-17,1030,17.43,0,0,-6
205,2010,1,9,12,-16,1029,23.24,0,0,-6
206,2010,1,9,13,-16,1029,28.16,0,0,-5
207,2010,1,9,14,-15,1029,33.08,0,0,-4
208,2010,1,9,15,-14,1028,37.1,0,0,-4
209,2010,1,9,16,-15,1029,38.89,0,0,-4
210,2010,1,9,17,-15,1030,1.79,0,0,-4
211,2010,1,9,18,-15,1030,3.13,0,0,-7
212,2010,1,9,19,-15,1031,3.13,0,0,-6
213,2010,1,9,20,-15,1032,4.92,0,0,-7
214,2010,1,9,21,-15,1032,3.13,0,0,-6
215,2010,1,9,22,-15,1033,0.45,0,0,-8
216,2010,1,9,23,-15,1033,0.9,0,0,-8
217,2010,1,10,0,-15,1033,0.89,0,0,-11
218,2010,1,10,1,-17,1033,1.78,0,0,-13
219,2010,1,10,2,-17,1033,4.91,0,0,-12
220,2010,1,10,3,-17,1033,8.04,0,0,-13
221,2010,1,10,4,-19,1032,9.83,0,0,-14
222,2010,1,10,5,-18,1032,12.96,0,0,-13
223,2010,1,10,6,-19,1032,16.09,0,0,-13
224,2010,1,10,7,-19,1033,19.22,0,0,-14
225,2010,1,10,8,-19,1034,22.35,0,0,-14
226,2010,1,10,9,-17,1033,24.14,0,0,-12
227,2010,1,10,10,-16,1033,4.02,0,0,-7
228,2010,1,10,11,-15,1033,3.13,0,0,-7
229,2010,1,10,12,-15,1032,6.26,0,0,-7
230,2010,1,10,13,-14,1031,9.39,0,0,-6
231,2010,1,10,14,-14,1031,12.52,0,0,-6
232,2010,1,10,15,-13,1030,14.31,0,0,-5
233,2010,1,10,16,-14,1031,16.1,0,0,-5
234,2010,1,10,17,-14,1031,19.23,0,0,-6
235,2010,1,10,18,-13,1032,23.25,0,0,-7
236,2010,1,10,19,-15,1032,27.27,0,0,-6
237,2010,1,10,20,-15,1033,30.4,0,0,-6
238,2010,1,10,21,-15,1034,35.32,0,0,-4
239,2010,1,10,22,-16,1034,44.26,0,0,-4
240,2010,1,10,23,-17,1035,52.31,0,0,-5
241,2010,1,11,0,-17,1035,60.36,0,0,-6
242,2010,1,11,1,-17,1035,0.89,0,0,-8
243,2010,1,11,2,-19,1036,4.02,0,0,-11
244,2010,1,11,3,-20,1036,8.94,0,0,-11
245,2010,1,11,4,-21,1035,4.02,0,0,-11
246,2010,1,11,5,-22,1035,3.13,0,0,-12
247,2010,1,11,6,-22,1035,4.92,0,0,-12
248,2010,1,11,7,-22,1036,5.81,0,0,-13
249,2010,1,11,8,-22,1036,13.86,0,0,-9
250,2010,1,11,9,-22,1036,21.91,0,0,-10
251,2010,1,11,10,-22,1036,29.06,0,0,-9
252,2010,1,11,11,-21,1036,33.08,0,0,-9
253,2010,1,11,12,-20,1035,42.02,0,0,-6
254,2010,1,11,13,-19,1034,50.96,0,0,-5
255,2010,1,11,14,-19,1033,59.01,0,0,-5
256,2010,1,11,15,-20,1033,66.16,0,0,-5
257,2010,1,11,16,-20,1032,71.97,0,0,-5
258,2010,1,11,17,-20,1033,76.89,0,0,-5
259,2010,1,11,18,-20,1033,81.81,0,0,-7
260,2010,1,11,19,-22,1033,85.83,0,0,-7
261,2010,1,11,20,-22,1033,89.85,0,0,-8
262,2010,1,11,21,-23,1033,91.64,0,0,-10
263,2010,1,11,22,-23,1033,93.43,0,0,-13
264,2010,1,11,23,-22,1032,0.89,0,0,-12
265,2010,1,12,0,-22,1031,1.78,0,0,-15
266,2010,1,12,1,-22,1031,1.79,0,0,-14
267,2010,1,12,2,-22,1031,0.89,0,0,-14
268,2010,1,12,3,-24,1030,1.79,0,0,-18
269,2010,1,12,4,-24,1030,3.58,0,0,-13
270,2010,1,12,5,-25,1030,3.13,0,0,-14
271,2010,1,12,6,-24,1030,7.15,0,0,-14
272,2010,1,12,7,-25,1030,12.96,0,0,-12
273,2010,1,12,8,-26,1030,16.98,0,0,-14
274,2010,1,12,9,-25,1031,21,0,0,-12
275,2010,1,12,10,-25,1031,26.81,0,0,-11
276,2010,1,12,11,-24,1030,35.75,0,0,-11
277,2010,1,12,12,-23,1029,47.82,0,0,-11
278,2010,1,12,13,-22,1029,63.02,0,0,-11
279,2010,1,12,14,-23,1029,75.98,0,0,-11
280,2010,1,12,15,-22,1029,88.05,0,0,-11
281,2010,1,12,16,-23,1030,101.01,0,0,-11
282,2010,1,12,17,-24,1030,109.06,0,0,-11
283,2010,1,12,18,-24,1032,118,0,0,-11
284,2010,1,12,19,-23,1032,126.05,0,0,-11
285,2010,1,12,20,-23,1032,134.1,0,0,-12
286,2010,1,12,21,-24,1033,142.15,0,0,-12
287,2010,1,12,22,-23,1033,150.2,0,0,-12
288,2010,1,12,23,-23,1034,160.03,0,0,-12
289,2010,1,13,0,-24,1034,169.86,0,0,-12
290,2010,1,13,1,-24,1033,178.8,0,0,-12
291,2010,1,13,2,-25,1033,189.98,0,0,-12
292,2010,1,13,3,-24,1033,198.03,0,0,-13
293,2010,1,13,4,-25,1032,205.18,0,0,-12
294,2010,1,13,5,-25,1033,215.01,0,0,-12
295,2010,1,13,6,-25,1032,226.19,0,0,-12
296,2010,1,13,7,-25,1032,235.13,0,0,-12
297,2010,1,13,8,-25,1032,243.18,0,0,-12
298,2010,1,13,9,-23,1033,252.12,0,0,-11
299,2010,1,13,10,-23,1033,257.93,0,0,-10
300,2010,1,13,11,-22,1033,263.74,0,0,-9
301,2010,1,13,12,-21,1031,270.89,0,0,-8
302,2010,1,13,13,-21,1030,278.94,0,0,-6
303,2010,1,13,14,-20,1029,286.99,0,0,-5
304,2010,1,13,15,-22,1028,294.14,0,0,-5
305,2010,1,13,16,-21,1028,299.06,0,0,-5
306,2010,1,13,17,-19,1028,1.79,0,0,-7
307,2010,1,13,18,-19,1028,0.45,0,0,-8
308,2010,1,13,19,-20,1028,1.34,0,0,-9
309,2010,1,13,20,-19,1027,1.79,0,0,-10
310,2010,1,13,21,-19,1027,0.89,0,0,-13
311,2010,1,13,22,-18,1027,1.78,0,0,-12
312,2010,1,13,23,-18,1027,0.89,0,0,-13
313,2010,1,14,0,-18,1026,1.78,0,0,-14
314,2010,1,14,1,-20,1025,2.67,0,0,-15
315,2010,1,14,2,-20,1025,0.89,0,0,-15
316,2010,1,14,3,-20,1025,1.78,0,0,-16
317,2010,1,14,4,-20,1024,3.57,0,0,-16
318,2010,1,14,5,-21,1024,6.7,0,0,-17
319,2010,1,14,6,-19,1023,10.72,0,0,-14
320,2010,1,14,7,-21,1023,13.85,0,0,-17
321,2010,1,14,8,-19,1024,15.64,0,0,-15
322,2010,1,14,9,-19,1024,18.77,0,0,-14
323,2010,1,14,10,-18,1024,22.79,0,0,-10
324,2010,1,14,11,-17,1023,24.58,0,0,-9
325,2010,1,14,12,-16,1023,26.37,0,0,-6
326,2010,1,14,13,-17,1022,28.16,0,0,-5
327,2010,1,14,14,-16,1022,29.95,0,0,-5
328,2010,1,14,15,-15,1022,33.08,0,0,-4
329,2010,1,14,16,-16,1023,0.89,0,0,-4
330,2010,1,14,17,-15,1025,1.79,0,0,-5
331,2010,1,14,18,-14,1026,5.81,0,0,-3
332,2010,1,14,19,-16,1027,11.62,0,0,-3
333,2010,1,14,20,-15,1029,20.56,0,0,-4
334,2010,1,14,21,-16,1031,24.58,0,0,-5
335,2010,1,14,22,-17,1032,3.13,0,0,-6
336,2010,1,14,23,-18,1033,8.05,0,0,-6
337,2010,1,15,0,-19,1034,13.86,0,0,-7
338,2010,1,15,1,-17,1035,5.81,0,0,-8
339,2010,1,15,2,-18,1035,11.62,0,0,-10
340,2010,1,15,3,-19,1036,14.75,0,0,-10
341,2010,1,15,4,-19,1036,19.67,0,0,-9
342,2010,1,15,5,-19,1036,7.15,0,0,-9
343,2010,1,15,6,-20,1037,12.96,0,0,-9
344,2010,1,15,7,-19,1037,18.77,0,0,-9
345,2010,1,15,8,-19,1038,22.79,0,0,-8
346,2010,1,15,9,-19,1039,28.6,0,0,-8
347,2010,1,15,10,-19,1039,35.75,0,0,-7
348,2010,1,15,11,-18,1039,41.56,0,0,-6
349,2010,1,15,12,-18,1039,45.58,0,0,-5
350,2010,1,15,13,-17,1038,1.79,0,0,-4
351,2010,1,15,14,-16,1037,0.89,0,0,-3
352,2010,1,15,15,-17,1037,1.78,0,0,-3
353,2010,1,15,16,-17,1037,2.23,0,0,-2
354,2010,1,15,17,-15,1036,0.89,0,0,-5
355,2010,1,15,18,-15,1036,0.89,0,0,-6
356,2010,1,15,19,-15,1037,1.78,0,0,-6
357,2010,1,15,20,-14,1037,1.79,0,0,-6
358,2010,1,15,21,-14,1036,3.58,0,0,-8
359,2010,1,15,22,-14,1037,0.89,0,0,-10
360,2010,1,15,23,-15,1036,1.78,0,0,-11
361,2010,1,16,0,-15,1036,2.67,0,0,-11
362,2010,1,16,1,-16,1036,0.89,0,0,-13
363,2010,1,16,2,-16,1036,0.89,0,0,-12
364,2010,1,16,3,-16,1035,0.89,0,0,-13
365,2010,1,16,4,-15,1035,1.78,0,0,-12
366,2010,1,16,5,-14,1034,1.79,0,0,-10
367,2010,1,16,6,-15,1034,2.68,0,0,-10
368,2010,1,16,7,-15,1034,4.47,0,0,-11
369,2010,1,16,8,-15,1034,6.26,0,0,-11
370,2010,1,16,9,-14,1034,8.05,0,0,-9
371,2010,1,16,10,-14,1034,9.84,0,0,-9
372,2010,1,16,11,-13,1034,0.89,0,0,-6
373,2010,1,16,12,-13,1033,1.79,0,0,-5
374,2010,1,16,13,-12,1031,0.89,0,0,-4
375,2010,1,16,14,-12,1031,1.78,0,0,-3
376,2010,1,16,15,-12,1030,2.67,0,0,-3
377,2010,1,16,16,-11,1030,3.56,0,0,-3
378,2010,1,16,17,-11,1031,0.89,0,0,-4
379,2010,1,16,18,-12,1031,0.89,0,0,-7
380,2010,1,16,19,-12,1032,1.78,0,0,-7
381,2010,1,16,20,-12,1032,2.23,0,0,-8
382,2010,1,16,21,-12,1032,3.12,0,0,-9
383,2010,1,16,22,-13,1032,0.89,0,0,-11
384,2010,1,16,23,-14,1032,2.68,0,0,-11
385,2010,1,17,0,-15,1032,5.81,0,0,-12
386,2010,1,17,1,-14,1032,0.45,0,0,-11
387,2010,1,17,2,-14,1031,1.34,0,0,-11
388,2010,1,17,3,-14,1031,1.79,0,0,-12
389,2010,1,17,4,-14,1031,3.58,0,0,-12
390,2010,1,17,5,-14,1030,6.71,0,0,-10
391,2010,1,17,6,-14,1030,9.84,0,0,-11
392,2010,1,17,7,-15,1030,11.63,0,0,-10
393,2010,1,17,8,-13,1030,14.76,0,0,-10
394,2010,1,17,9,-13,1030,17.89,0,0,-8
395,2010,1,17,10,-12,1030,0.45,0,0,-6
396,2010,1,17,11,-11,1030,1.34,0,0,-5
397,2010,1,17,12,-11,1029,2.23,0,0,-4
398,2010,1,17,13,-11,1028,3.12,0,0,-3
399,2010,1,17,14,-10,1027,4.01,0,0,-1
400,2010,1,17,15,-11,1027,4.46,0,0,-1
401,2010,1,17,16,-10,1026,0.89,0,0,-1
402,2010,1,17,17,-10,1026,1.78,0,0,-3
403,2010,1,17,18,-10,1027,2.67,0,0,-5
404,2010,1,17,19,-10,1027,0.89,0,0,-6
405,2010,1,17,20,-11,1027,0.45,0,0,-7
406,2010,1,17,21,-10,1027,0.9,0,0,-7
407,2010,1,17,22,-11,1027,1.35,0,0,-9
408,2010,1,17,23,-12,1027,0.89,0,0,-9
409,2010,1,18,0,-12,1028,0.89,0,0,-10
410,2010,1,18,1,-13,1028,3.13,0,0,-11
411,2010,1,18,2,-11,1028,4.92,0,0,-9
412,2010,1,18,3,-13,1028,6.71,0,0,-10
413,2010,1,18,4,-13,1028,7.6,0,0,-11
414,2010,1,18,5,-13,1027,1.79,0,0,-11
415,2010,1,18,6,-14,1028,0.89,0,0,-11
416,2010,1,18,7,-14,1028,4.02,0,0,-11
417,2010,1,18,8,-14,1028,5.81,0,0,-11
418,2010,1,18,9,-11,1028,9.83,0,0,-6
419,2010,1,18,10,-10,1028,11.62,0,0,-5
420,2010,1,18,11,-9,1028,13.41,0,0,-3
421,2010,1,18,12,-8,1027,15.2,0,0,-1
422,2010,1,18,13,-9,1026,16.99,0,0,0
423,2010,1,18,14,-9,1025,1.79,0,0,1
424,2010,1,18,15,-9,1025,0.89,0,0,1
425,2010,1,18,16,-8,1025,0.89,0,0,1
426,2010,1,18,17,-7,1025,2.68,0,0,-1
427,2010,1,18,18,-7,1025,0.89,0,0,-2
428,2010,1,18,19,-7,1025,0.89,0,0,-3
429,2010,1,18,20,-5,1026,0.89,0,0,-2
430,2010,1,18,21,-5,1026,1.79,0,0,-1
431,2010,1,18,22,-5,1026,3.58,0,0,-1
432,2010,1,18,23,-6,1026,0.89,0,0,-1
433,2010,1,19,0,-4,1025,1.79,0,0,-1
434,2010,1,19,1,-5,1024,4.92,0,0,-1
435,2010,1,19,2,-5,1024,6.71,0,0,-1
436,2010,1,19,3,-5,1023,8.5,0,0,-1
437,2010,1,19,4,-4,1022,10.29,0,0,-1
438,2010,1,19,5,-4,1021,11.18,0,0,-1
439,2010,1,19,6,-4,1021,12.07,0,0,-1
440,2010,1,19,7,-4,1021,13.86,0,0,-1
441,2010,1,19,8,-4,1021,0.89,0,0,0
442,2010,1,19,9,-4,1021,1.79,0,0,0
443,2010,1,19,10,-4,1021,0.89,0,0,0
444,2010,1,19,11,-5,1021,1.79,0,0,1
445,2010,1,19,12,-5,1020,0.89,0,0,1
446,2010,1,19,13,-4,1019,1.34,0,0,1
447,2010,1,19,14,-4,1018,0.89,0,0,1
448,2010,1,19,15,-3,1018,0.45,0,0,2
449,2010,1,19,16,-3,1018,1.34,0,0,2
450,2010,1,19,17,-2,1018,0.89,0,0,2
451,2010,1,19,18,-3,1018,0.89,0,0,1
452,2010,1,19,19,-3,1020,1.79,0,0,2
453,2010,1,19,20,-3,1020,4.92,0,0,1
454,2010,1,19,21,-3,1021,6.71,0,0,0
455,2010,1,19,22,-3,1021,8.5,0,0,0
456,2010,1,19,23,-3,1020,11.63,0,0,1
457,2010,1,20,0,-2,1021,14.76,0,0,0
458,2010,1,20,1,-2,1022,16.55,0,0,-1
459,2010,1,20,2,-4,1022,19.68,0,0,-2
460,2010,1,20,3,-2,1023,25.49,0,0,-1
461,2010,1,20,4,-3,1023,28.62,0,0,1
462,2010,1,20,5,-3,1024,31.75,0,0,0
463,2010,1,20,6,-5,1026,36.67,0,0,2
464,2010,1,20,7,-9,1027,41.59,0,0,1
465,2010,1,20,8,-10,1028,48.74,0,0,0
466,2010,1,20,9,-10,1030,55.89,0,0,0
467,2010,1,20,10,-11,1032,63.04,0,0,1
468,2010,1,20,11,-13,1033,71.09,0,0,0
469,2010,1,20,12,-13,1033,78.24,0,0,0
470,2010,1,20,13,-13,1033,8.05,0,0,-1
471,2010,1,20,14,-13,1032,7.15,0,0,-1
472,2010,1,20,15,-15,1032,5.81,0,0,-1
473,2010,1,20,16,-14,1033,5.81,0,0,-1
474,2010,1,20,17,-15,1033,12.96,0,0,-2
475,2010,1,20,18,-16,1034,21.01,0,0,-3
476,2010,1,20,19,-17,1035,28.16,0,0,-4
477,2010,1,20,20,-19,1036,37.99,0,0,-3
478,2010,1,20,21,-18,1037,46.93,0,0,-4
479,2010,1,20,22,-19,1038,55.87,0,0,-4
480,2010,1,20,23,-19,1038,65.7,0,0,-5
481,2010,1,21,0,-20,1038,75.53,0,0,-6
482,2010,1,21,1,-20,1038,85.36,0,0,-6
483,2010,1,21,2,-20,1038,95.19,0,0,-7
484,2010,1,21,3,-22,1038,103.24,0,0,-8
485,2010,1,21,4,-23,1038,111.29,0,0,-8
486,2010,1,21,5,-24,1038,118.44,0,0,-9
487,2010,1,21,6,-24,1038,128.27,0,0,-9
488,2010,1,21,7,-25,1038,138.1,0,0,-9
489,2010,1,21,8,-25,1039,147.04,0,0,-8
490,2010,1,21,9,-25,1039,155.98,0,0,-8
491,2010,1,21,10,-22,1039,160.9,0,0,-7
492,2010,1,21,11,-22,1038,3.13,0,0,-7
493,2010,1,21,12,-22,1037,4.02,0,0,-5
494,2010,1,21,13,-21,1035,3.13,0,0,-5
495,2010,1,21,14,-21,1034,1.79,0,0,-4
496,2010,1,21,15,-20,1034,1.79,0,0,-3
497,2010,1,21,16,-21,1033,4.92,0,0,-2
498,2010,1,21,17,-20,1033,10.73,0,0,-2
